Experiment_Set,Run_Number,Iteration,p,e,Best_Fitness,Average_Fitness,Standard_Deviation
3,4,3000,10,0.9,4058.0,5844.5,1437.3730378715193
3,4,3500,10,0.9,4055.0,5246.6,1121.5210385900034
3,4,4000,10,0.9,3022.0,5129.2,1141.9346566244499
3,4,4500,10,0.9,2218.0,4941.0,1968.6678744775616
3,4,5000,10,0.9,2382.0,5174.4,1448.380212513275
3,4,5500,10,0.9,2534.0,4732.7,1269.4237314624302
3,4,6000,10,0.9,2555.0,4895.4,1497.5449375561323
3,4,6500,10,0.9,2313.0,3742.5,1373.380737450471
3,4,7000,10,0.9,2917.0,4527.2,1089.378336483703
3,4,7500,10,0.9,2756.0,3612.8,780.2885107445835
3,4,8000,10,0.9,2857.0,3842.6,745.9014948369522
3,4,8500,10,0.9,1528.0,3667.3,1187.3040933139246
3,4,9000,10,0.9,2081.0,3583.2,938.8119939583218
3,4,9500,10,0.9,1809.0,3638.0,739.3871786824545
3,4,10000,10,0.9,1095.0,3027.2,1044.7250164516977
4,0,0,10,0.6,4619.0,7150.4,1250.9302298689563
4,0,500,10,0.6,2843.0,4934.1,1420.125800765552
4,0,1000,10,0.6,2562.0,3255.8,638.586219707253
4,0,1500,10,0.6,1485.0,1796.3,304.5718470246388
4,0,2000,10,0.6,821.0,1233.7,319.91250366311095
4,0,2500,10,0.6,866.0,1239.8,140.68105771567116
4,0,3000,10,0.6,1077.0,1077.0,0.0
4,0,3500,10,0.6,1077.0,1077.0,0.0
4,0,4000,10,0.6,1077.0,1077.0,0.0
4,0,4500,10,0.6,1077.0,1077.0,0.0
4,0,5000,10,0.6,1077.0,1077.0,0.0
4,0,5500,10,0.6,1077.0,1077.0,0.0
4,0,6000,10,0.6,1077.0,1077.0,0.0
4,0,6500,10,0.6,1077.0,1077.0,0.0
4,0,7000,10,0.6,1077.0,1077.0,0.0
4,0,7500,10,0.6,1077.0,1077.0,0.0
4,0,8000,10,0.6,1077.0,1077.0,0.0
4,0,8500,10,0.6,1077.0,1077.0,0.0
4,0,9000,10,0.6,1077.0,1077.0,0.0
4,0,9500,10,0.6,1077.0,1077.0,0.0
4,0,10000,10,0.6,1077.0,1077.0,0.0
4,1,0,10,0.6,5263.0,7068.5,1273.1150183702964
4,1,500,10,0.6,2493.0,4894.7,1051.2302364372897
4,1,1000,10,0.6,1801.0,3403.1,792.542800106089
4,1,1500,10,0.6,1396.0,2369.1,590.7914098901574
